,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
135,12608,12592,12544,12528,12544,12576,12192,12544,12512,12608,12608,12560,12176,12544,12560,12592,12512,12496
136,12592,12608,12544,12560,12512,12592,11952,12576,12512,12576,12592,12592,11936,12528,12544,12592,12560,12512
137,12480,12592,12576,12576,12496,12544,11536,12592,12528,12544,12576,12608,11616,12544,12496,12592,12576,12560
138,12336,12560,12576,12592,12512,12528,11504,12624,12544,12560,12560,12608,11568,12560,12512,12560,12576,12576
139,12288,12544,12576,12624,12544,12528,11472,12624,12592,12576,12528,12560,11536,12576,12512,12528,12528,12592
140,12272,12528,12560,12608,12576,12528,11424,12576,12592,12592,12544,12528,11504,12608,12544,12512,12528,12576
141,12192,12528,12496,12592,12592,12560,11360,12544,12576,12640,12576,12528,11456,12592,12576,12544,12496,12544
142,12064,12576,12512,12576,12560,12592,11264,12528,12544,12608,12576,12528,11376,12576,12560,12560,12480,12512
143,11776,12592,12544,12544,12544,12576,11168,12576,12528,12576,12592,12592,11312,12544,12512,12560,12560,12608
144,11600,12512,12560,12608,12592,12560,11072,12544,12576,12640,12592,12544,11232,12560,12576,12592,12512,12496
145,11552,12608,12560,12560,12544,12576,10960,12528,12512,12592,12592,12576,11136,12512,12544,12608,12544,12512
146,11504,12592,12592,12576,12496,12560,10800,12544,12528,12544,12592,12608,11008,12528,12512,12592,12576,12528
147,11408,12560,12576,12592,12496,12528,10688,12496,12528,12560,12528,12576,10928,12512,12496,12576,12560,12544
148,11312,12528,12576,12624,12560,12528,10560,12496,12592,12640,12560,12528,10816,12576,12592,12576,12512,12512
149,11200,12608,12560,12560,12512,12560,10368,12480,12544,12560,12576,12608,10656,12560,12512,12544,12544,12592
150,11040,12544,12544,12592,12576,12560,10240,12352,12560,12640,12608,12560,10560,12544,12576,12608,12544,12528
151,10960,12576,12608,12592,12528,12528,10128,12384,12560,12576,12544,12560,10464,12592,12544,12528,12496,12560
